Year,Total Records,Resolved,Unresolved,Resolution %,Mean Duration,Median Duration,25th Percentile,75th Percentile,90th Percentile,Delay 12m Count,Delay 12m %,Delay 24m Count,Delay 24m %,Delay 36m Count,Delay 36m %
2010,49867,48501,1366,97.26071349790443,869.8002721593369,661.0,169.0,1358.0,2119.0,30986,63.88734252902002,22703,46.809344137234284,16011,33.01169048060865
2011,49892,47764,2128,95.73478714022288,817.0487605728164,623.0,173.0,1238.0,2036.0,30437,63.72372498115736,21542,45.10091282137175,13996,29.302403483795324
2012,49911,47181,2730,94.53026386968804,721.3387592463067,500.0,134.0,1102.0,1891.0,28363,60.115300650685654,17915,37.97079332782264,11890,25.20082236493504
2013,49949,45167,4782,90.42623475945464,579.7176478402373,397.0,87.0,892.0,1554.0,23696,52.46308145327341,14064,31.13777758097726,8618,19.080301990391217
2014,49836,43250,6586,86.78465366401798,470.58929479768784,284.0,33.0,773.0,1302.0,19398,44.85086705202312,11461,26.49942196531792,6580,15.213872832369942
2015,49982,41178,8804,82.38565883718138,413.7888435572393,250.0,22.0,745.0,1080.0,17633,42.821409490504635,10588,25.71275924037107,3828,9.296226140171937
2016,49930,37319,12611,74.7426396955738,296.864171065677,185.0,12.0,542.0,761.2000000000044,13825,37.04547281545593,4261,11.417776467751011,334,0.8949864680189715
2017,49913,33227,16686,66.56983150682187,200.87326571763927,127.0,11.0,346.0,537.0,7742,23.300328046468234,463,1.3934450898365787,12,0.03611520751196316
2018,49986,25911,24075,51.83651422398271,87.42862104897534,44.0,7.0,132.0,248.0,644,2.4854308980741773,21,0.08104665971981012,0,0.0
