Config,Groups,Feature Count,Runtime (s),Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ΔPR-AUC,ΔROC-AUC
A,Basic,15,1.5580799579620361,0.7037214885954381,0.6689278867423684,0.467870036101083,0.5506190823015294,0.7811533152117013,0.6667710422701583,0.0,0.0
B,Basic+Court,21,1.9807569980621338,0.7157062825130052,0.7004565503366091,0.466838576585869,0.5602698604276917,0.7908096780170485,0.684565059293764,0.017794017023605724,0.009656362805347207
C,Basic+Court+Judge,25,2.248338222503662,0.7186674669867947,0.7031023706075158,0.47570912841670965,0.5674736226891015,0.7934146527945084,0.6880462495017904,0.0034811902080263968,0.002604974777459912
D,Basic+Court+Judge+Historical,29,2.3750131130218506,0.7150660264105643,0.7140244409344085,0.4429602888086643,0.5467392342213311,0.7964361109626545,0.6900085696995081,0.001962320197717693,0.0030214581681461405
E,Basic+Court+Judge+Historical+NLP,79,4.409888029098511,0.7183873549419768,0.7140555779299235,0.4571944301186178,0.5574595189435624,0.786943415223486,0.6842726364492707,-0.005735933250237357,-0.009492695739168555
F,Basic+Court+Judge+Historical+NLP+Graph,81,4.497225999832153,0.7191276510604242,0.7184846505551927,0.45384218669417226,0.55629306530122,0.7874983279666979,0.6848712827090937,0.0005986462598229769,0.0005549127432119549
