Feature,Mean_Absolute_SHAP
ddl_filing_judge_id_371.0,0.0072237784
"court_str_DISTRICT COURT 1 AND ADDL. SESSIONS COURT, AMALNER",0.0071810693
"court_str_CIVIL COURT SENIOR DIVISION, DHULE",0.0071803657
type_name_1919,0.0069903685
type_name_2201,0.0069798552
"court_str_CHIEF JUDICIAL MAGISTRATE COURT, DHULE",0.0068977484
type_name_3649,0.005189959
court_str_JUDICIAL MAGISTRATE F C RLY BHUSAWAL,0.005107648
"court_str_DISTRICT COURT, BULDANA",0.0043612914
court_str_CIVIL COURT SENIOR DIVISION JALGAON,0.004203396
type_name_1842,0.004196109
type_name_4709,0.004190792
statutory_act_count,0.0041416823
type_name_3885,0.003953119
type_name_3555,0.003119574
type_name_3437,0.003100381
type_name_5503,0.0029285252
court_str_DISTRICT AND SESSIONS COURT JALGAON,0.002751743
type_name_5236,0.0026910522
type_name_1683,0.0025872884
type_name_5984,0.0023353861
judge_position_clean_civil_court,0.0022487182
ddl_filing_judge_id_204.0,0.0021413628
type_name_3508,0.0021124189
ddl_filing_judge_id_280.0,0.0020796359
court_no_10,0.001914118
type_name_5424,0.0018446188
ddl_filing_judge_id_250.0,0.0017645209
court_str_Civil  Court J.D. Sakri,0.0017644039
court_no_16,0.0016359873
ddl_filing_judge_id_1005.0,0.0012762656
type_name_2880,0.0011898584
court_str_JUDICIAL MAGISTRATE F.C.AMALNER,0.0010957005
ddl_filing_judge_id_161.0,0.0010760478
type_name_1036,0.0010450578
judge_position_clean_other,0.0010268277
court_str_Civil Court S.D. Shahada,0.0009908299
ipc_section_count,0.0009278511
type_name_6253,0.00078719255
type_name_3651,0.0006868829
type_name_1862,0.0006479493
ddl_filing_judge_id_240.0,0.00063640735
type_name_5282,0.0005939797
type_name_1673,0.0005173694
type_name_5044,0.00044265113
ddl_filing_judge_id_150.0,0.00040662684
type_name_1849,0.00023783279
"court_str_Civil Court J.D. and J.M.F.C., Akkalkuwa",0.00018902658
type_name_3726,0.00014464086
type_name_2401,7.348492e-05
type_name_5682,8.84934e-06
primary_act_id_4759.0,0.0
case_type_str_spl. marriage petn.,0.0
ddl_filing_judge_id_75.0,0.0
primary_act_id_17353.0,0.0
ddl_filing_judge_id_550.0,0.0
bailable_ipc_flag_-1,0.0
case_type_str_spl.case,0.0
is_criminal_code_1,0.0
is_criminal_code_0,0.0
is_criminal_code_-1,0.0
ddl_filing_judge_id_787.0,0.0
case_type_str_spl.case child prot.,0.0
case_type_str_spl.cri.m.a.,0.0
primary_act_id_missing,0.0
ddl_filing_judge_id_526.0,0.0
case_type_str_uc,0.0
case_type_str_st,0.0
ddl_filing_judge_id_551.0,0.0
case_type_str_u.i case,0.0
ddl_filing_judge_id_74.0,0.0
case_type_str_succession case,0.0
case_type_str_sum.civ.suit,0.0
case_category_Ambiguous/Mixed,0.0
case_type_str_summary trial,0.0
case_type_str_summon case,0.0
case_type_str_warrant,0.0
case_type_str_w.c.f.a.case,0.0
case_type_str_summons for judgt,0.0
case_type_str_ucr,0.0
case_type_str_spl. case (excise),0.0
case_type_str_title appeal,0.0
case_type_str_stay application,0.0
ddl_filing_judge_id_1138.0,0.0
ddl_filing_judge_id_845.0,0.0
judge_position_clean_judicial_magistrate,0.0
case_type_str_probate,0.0
case_type_str_private complaint,0.0
case_type_str_prc sp,0.0
case_type_str_police challan (summon trial),0.0
case_type_str_police cases w,0.0
case_type_str_police cases pw,0.0
case_type_str_police cases ps,0.0
case_type_str_petty cases,0.0
case_type_str_petition a,0.0
case_type_str_pcso,0.0
case_type_str_p w case,0.0
case_type_str_p  and  sc,0.0
case_type_str_other misc.cri.appln,0.0
case_type_str_other misc.appln.,0.0
case_type_str_original suit,0.0
case_type_str_original civil suits 17,0.0
case_type_str_original civil suits,0.0
case_type_str_ndps. s. case,0.0
case_type_str_nact,0.0
case_type_str_munci. appeal,0.0
case_type_str_mseb ma,0.0
case_type_str_pwdva appln.,0.0
judge_position_clean_addl_district_sessions,0.0
case_type_str_special sessions cases,0.0
ddl_filing_judge_id_missing,0.0
case_type_str_special court cases,0.0
case_type_str_spcs el,0.0
case_type_str_smst r,0.0
case_type_str_sessions trial(n),0.0
case_type_str_sessions case type 1,0.0
ddl_filing_judge_id_846.0,0.0
case_type_str_session trial,0.0
case_type_str_session case old,0.0
case_type_str_scc suit,0.0
case_type_str_sc doct,0.0
case_type_str_s.t.,0.0
ddl_filing_judge_id_52.0,0.0
ddl_filing_judge_id_93.0,0.0
case_type_str_regular suit,0.0
ddl_filing_judge_id_932.0,0.0
ddl_filing_judge_id_933.0,0.0
case_type_str_rcr,0.0
case_type_str_rca dj,0.0
case_type_str_rca,0.0
ddl_filing_judge_id_96.0,0.0
case_type_str_r.cri. case,0.0
ddl_filing_judge_id_523.0,0.0
ddl_filing_judge_id_38.0,0.0
ddl_filing_judge_id_516.0,0.0
court_str_CIVIL-CUM-CRIMINAL COURT CHALISGAON,0.0
ddl_filing_judge_id_162.0,0.0
"court_str_Civil Court Senior Division, Bhusawal",0.0
ddl_filing_judge_id_163.0,0.0
ddl_filing_judge_id_205.0,0.0
ddl_filing_judge_id_216.0,0.0
ddl_filing_judge_id_239.0,0.0
court_str_CIVIL-CUM-CRIMINAL COURT PACHORA,0.0
court_str_CIVIL-CUM-CRIMINAL COURT JAMNER,0.0
ddl_filing_judge_id_251.0,0.0
court_str_CIVIL CUM CRIMINAL COURT YAWAL,0.0
ddl_filing_judge_id_51.0,0.0
ddl_filing_judge_id_268.0,0.0
ddl_filing_judge_id_278.0,0.0
court_str_CIVIL CUM CRIMINAL COURT PAROLA,0.0
court_str_CIVIL CUM CRIMINAL COURT MUKTAINAGAR,0.0
court_str_CIVIL CUM CRIMINAL COURT ERANDOL,0.0
ddl_filing_judge_id_279.0,0.0
court_str_CIVIL CUM CRIMINAL  COURT CHOPDA,0.0
ddl_filing_judge_id_297.0,0.0
ddl_filing_judge_id_299.0,0.0
case_type_str_motor vehicle act,0.0
ddl_filing_judge_id_155.0,0.0
ddl_filing_judge_id_154.0,0.0
"court_str_District and Additional Session Court, Bhusawal",0.0
ddl_filing_judge_id_1135.0,0.0
ddl_filing_judge_id_1129.0,0.0
ddl_filing_judge_id_114.0,0.0
ddl_filing_judge_id_117.0,0.0
ddl_filing_judge_id_1115.0,0.0
ddl_filing_judge_id_1114.0,0.0
ddl_filing_judge_id_1101.0,0.0
ddl_filing_judge_id_127.0,0.0
ddl_filing_judge_id_132.0,0.0
ddl_filing_judge_id_1057.0,0.0
ddl_filing_judge_id_134.0,0.0
ddl_filing_judge_id_137.0,0.0
ddl_filing_judge_id_103.0,0.0
ddl_filing_judge_id_1015.0,0.0
ddl_filing_judge_id_145.0,0.0
ddl_filing_judge_id_1004.0,0.0
ddl_filing_judge_id_147.0,0.0
ddl_filing_judge_id_148.0,0.0
ddl_filing_judge_id_149.0,0.0
court_str_CIVIL COURT SENIOR DIVISION CHALISGAON,0.0
court_str_CIVIL AND CRIMINAL COURT RAVER,0.0
ddl_filing_judge_id_3.0,0.0
ddl_filing_judge_id_366.0,0.0
ddl_filing_judge_id_1137.0,0.0
ddl_filing_judge_id_380.0,0.0
ddl_filing_judge_id_381.0,0.0
ddl_filing_judge_id_382.0,0.0
ddl_filing_judge_id_39.0,0.0
ddl_filing_judge_id_399.0,0.0
ddl_filing_judge_id_400.0,0.0
state_code_1,0.0
