Filing Year,Total,Unresolved,Proven >12m,Censored <12m,Unknown 12m,Proven >24m,Censored <24m,Unknown 24m,Proven >36m,Censored <36m,Unknown 36m
2010,49867,1366,1366,0,0,1365,1,0,1365,1,0
2011,49892,2128,2127,1,0,2127,1,0,2127,1,0
2012,49911,2730,2730,0,0,2730,0,0,2730,0,0
2013,49949,4782,4782,0,0,4782,0,0,4782,0,0
2014,49836,6586,6586,0,0,6586,0,0,6586,0,0
2015,49982,8804,8803,1,0,8803,1,0,8803,1,0
2016,49930,12611,12611,0,0,12611,0,0,2320,10291,0
2017,49913,16686,16686,0,0,3596,13090,0,797,15889,0
2018,49986,24075,5570,18505,0,1620,22455,0,3,24072,0
