Subgroup_Variable,Subgroup_Value,Sample_Size,MAE,RMSE,Mean_Directional_Error
Duration Bucket,Short (<1 yr),23494,267.9289774249557,329.65431101254285,257.00988362420867
Duration Bucket,Medium (1-3 yrs),13491,249.1906001283668,306.75273914904966,-81.7514628244466
Duration Bucket,Long (>3 yrs),334,460.72168882449944,538.2245040887275,-410.4682584294302
is_criminal_code,1,28838,247.16654557498168,298.8417971120523,95.65355584224791
is_criminal_code,0,5466,265.2233894744549,333.70935557281376,180.8068866450578
is_criminal_code,-1,3015,408.93364439880474,493.821587991637,348.73536875837084
state_str,Maharashtra,37319,262.8804315769739,324.0727999198628,128.57217027752938
