Config,Groups,Feature Count,Runtime (s),MAE,RMSE,R2,ΔMAE,ΔRMSE
A,Basic,15,1.5603666305541992,344.90651364264295,420.4634534024583,0.05462233373117431,0.0,0.0
B,Basic+Court,21,1.7342369556427002,344.63857522348184,420.0368210678841,0.056539856191064386,-0.26793841916111205,-0.426632334574208
C,Basic+Court+Judge,25,2.7269411087036133,342.1829286754009,416.4344365381389,0.07265335768731385,-2.4556465480809493,-3.6023845297451658
D,Basic+Court+Judge+Historical,29,2.2962050437927246,294.43582532738844,370.76797572162184,0.26488842023059245,-47.747103348012445,-45.66646081651709
E,Basic+Court+Judge+Historical+NLP,79,4.431463956832886,295.04597736646804,374.21067268611284,0.2511735578330607,0.610152039079594,3.442696964491006
F,Basic+Court+Judge+Historical+NLP+Graph,81,4.274994134902954,295.6260567230281,374.35251617306494,0.2506057691947454,0.580079356560077,0.14184348695209792
