Case_ID,Category,Actual_Label,Predicted_Probability,Risk_Score,Top_Pos_Contributors,Top_Neg_Contributors
348579,High Risk,1,0.91490793,91,"[('type_name_1689', 2.080209732055664, 0.0), ('court_no_21', 0.9603633284568787, 0.0), ('type_name_2594', 0.54788738489151, 0.0)]","[('case_type_str_cri.bail appln.', -5.228422164916992, 0.0), ('ddl_filing_judge_id_350.0', -1.0109150409698486, 0.0), ('ddl_filing_judge_id_298.0', -0.8727859854698181, 0.0)]"
319493,Medium Risk,1,0.51105845,51,"[('type_name_1689', 2.0315139293670654, 0.0), ('court_no_21', 0.9907832741737366, 0.0), ('type_name_3425', 0.80692458152771, 0.0)]","[('case_type_str_cri.bail appln.', -5.532743453979492, 0.0), ('ddl_filing_judge_id_350.0', -1.0165785551071167, 0.0), ('ddl_filing_judge_id_298.0', -0.8676171898841858, 0.0)]"
326625,Low Risk,0,0.0006025701,0,"[('type_name_1689', 2.0369069576263428, 0.0), ('court_no_21', 0.9246425628662109, 0.0), ('type_name_2594', 0.9136439561843872, 0.0)]","[('case_type_str_cri.bail appln.', -5.284317493438721, 1.0), ('ddl_filing_judge_id_350.0', -0.9132285118103027, 0.0), ('ddl_filing_judge_id_298.0', -0.8802779912948608, 0.0)]"
325243,True Positive,1,0.8964122,89,"[('type_name_1689', 2.066772222518921, 0.0), ('court_no_21', 0.9998285174369812, 0.0), ('type_name_2594', 0.9230669140815735, 0.0)]","[('case_type_str_cri.bail appln.', -5.422070026397705, 0.0), ('ddl_filing_judge_id_350.0', -1.0830907821655273, 0.0), ('ddl_filing_judge_id_298.0', -0.8968963027000427, 0.0)]"
340843,False Positive,0,0.87499285,87,"[('type_name_1689', 2.1106796264648438, 0.0), ('court_no_21', 0.9149067997932434, 0.0), ('type_name_2594', 0.9081068634986877, 0.0)]","[('case_type_str_cri.bail appln.', -5.567504405975342, 0.0), ('ddl_filing_judge_id_350.0', -1.042865514755249, 0.0), ('ddl_filing_judge_id_298.0', -0.8975946307182312, 0.0)]"
346539,False Negative,1,0.3054405,30,"[('type_name_1689', 2.0577282905578613, 0.0), ('court_no_21', 0.9724705219268799, 0.0), ('type_name_3425', 0.9204115271568298, 0.0)]","[('case_type_str_cri.bail appln.', -5.286202907562256, 0.0), ('ddl_filing_judge_id_350.0', -1.0491684675216675, 0.0), ('ddl_filing_judge_id_298.0', -0.8740631937980652, 0.0)]"
