Filing Year,Total Cases,Resolved (Exact Duration Eligible),Unresolved,12m Eligible,12m Unknown,12m Observable %,24m Eligible,24m Unknown,24m Observable %,36m Eligible,36m Unknown,36m Observable %
2010,49867,48501,1366,49867,0,100.0,49866,1,99.99799466581105,49866,1,99.99799466581105
2011,49892,47764,2128,49891,1,99.99799567064859,49891,1,99.99799567064859,49891,1,99.99799567064859
2012,49911,47181,2730,49911,0,100.0,49911,0,100.0,49911,0,100.0
2013,49949,45167,4782,49949,0,100.0,49949,0,100.0,49949,0,100.0
2014,49836,43250,6586,49836,0,100.0,49836,0,100.0,49836,0,100.0
2015,49982,41178,8804,49981,1,99.9979992797407,49981,1,99.9979992797407,49981,1,99.9979992797407
2016,49930,37319,12611,49930,0,100.0,49930,0,100.0,39639,10291,79.3891448027238
2017,49913,33227,16686,49913,0,100.0,36823,13090,73.77436739927474,34024,15889,68.16660990122814
2018,49986,25911,24075,31481,18505,62.979634297603326,27531,22455,55.07742167806986,25914,24072,51.84251590445324
