Year,Total Cases,Resolved,Unresolved (Censored),Valid 12m Label,Delayed 12m %,Valid 24m Label,Censored Before 24m,Delayed 24m %,Valid 36m Label,Delayed 36m %
2010,49867,48501,1366,49867,64.87657168067058,49867,0,48.26638859365913,49867,34.846692201255344
2011,49892,47764,2128,49892,65.27098532830915,49892,0,47.44247574761485,49892,32.31780646195783
2012,49911,47181,2730,49911,62.2968884614614,49911,0,41.3636272565166,49911,29.292140009216403
2013,49949,45167,4782,49949,57.01415443752628,49949,0,37.7304850947967,49949,26.827363911189412
2014,49836,43250,6586,49836,52.13901597238944,49836,0,36.21277791154988,49836,26.418653182438394
2015,49982,41178,8804,49982,52.893041494938174,49982,0,38.79796726821656,49982,25.273098315393543
2016,49930,37319,12611,49930,52.946124574404166,49930,0,33.79130783096335,49930,25.92629681554176
2017,49913,33227,16686,49913,48.941157614248795,49913,0,34.35778254162242,49913,33.45421032596718
2018,49986,25911,24075,49986,49.45184651702477,49986,0,48.20549753931101,49986,48.16348577601728
